"filename", "language", "PHP", "CSS", "YAML", "JSON", "Docker", "Ignore", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"u:\Projects\Laravel Projects\URLShortener\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 2, 36
"u:\Projects\Laravel Projects\URLShortener\Dockerfile", "Docker", 0, 0, 0, 0, 11, 0, 0, 0, 0, 56, 14, 81
"u:\Projects\Laravel Projects\URLShortener\README.Docker.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 7, 22
"u:\Projects\Laravel Projects\URLShortener\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 22, 67
"u:\Projects\Laravel Projects\URLShortener\app\Helpers\base62file.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 55
"u:\Projects\Laravel Projects\URLShortener\app\Http\Controllers\AdminController.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 72
"u:\Projects\Laravel Projects\URLShortener\app\Http\Controllers\Controller.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"u:\Projects\Laravel Projects\URLShortener\app\Http\Controllers\InitialController.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 83
"u:\Projects\Laravel Projects\URLShortener\app\Http\Controllers\PremiumController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 38
"u:\Projects\Laravel Projects\URLShortener\app\Http\Controllers\ProfileController.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 24, 18, 135
"u:\Projects\Laravel Projects\URLShortener\app\Http\Controllers\urlController.php", "PHP", 147, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 177
"u:\Projects\Laravel Projects\URLShortener\app\Http\Middleware\MustBeLoggedIn.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 24
"u:\Projects\Laravel Projects\URLShortener\app\Http\Middleware\mustBeAdmin.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"u:\Projects\Laravel Projects\URLShortener\app\Jobs\SendDailyAdminEmail.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 28
"u:\Projects\Laravel Projects\URLShortener\app\Jobs\SendNewURLEmail.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 36
"u:\Projects\Laravel Projects\URLShortener\app\Jobs\SendNewUserEmail.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 34
"u:\Projects\Laravel Projects\URLShortener\app\Livewire\AdminPanelGuestTable.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"u:\Projects\Laravel Projects\URLShortener\app\Livewire\AdminPanelURLTable.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
